size, statements
1, 7
2, 23
3, 29
4, 54
5, 70
6, 110
7, 127
8, 176
9, 197
10, 261
11, 283
12, 356
13, 388
14, 479
15, 512
16, 600
17, 643
18, 755
19, 796
20, 911
21, 959
22, 1098
23, 1147
24, 1286
25, 1345
26, 1511
27, 1559
28, 1722
29, 1777
30, 1967
31, 2032
32, 2228
33, 2300
34, 2514
35, 2590
36, 2798
37, 2875
38, 3098
39, 3185
40, 3429
41, 3511
42, 3785
43, 3862
44, 4124
45, 4235
46, 4494
47, 4597
48, 4880
49, 4987
50, 5276
51, 5396
52, 5712
53, 5803
54, 6149
55, 6244
56, 6602
57, 6725
58, 7068
59, 7183
60, 7547
61, 7672
62, 8048
63, 8174
64, 8577
65, 8698
66, 9095
67, 9232
68, 9650
69, 9794
70, 10212
71, 10342
72, 10796
73, 10927
74, 11381
75, 11546
76, 11994
77, 12157
78, 12620
79, 12766
80, 13250
81, 13421
82, 13920
83, 14107
84, 14600
85, 14770
86, 15269
87, 15449
88, 16002
89, 16183
90, 16712
91, 16897
92, 17462
93, 17657
94, 18210
95, 18403
96, 18989
97, 19174
98, 19796
99, 19988
100, 20580
